id,code,description
ae_sv_25120,25120,Fabricación de tanques depósitos y recipientes de metal
ae_sv_25130,25130,Fabricación de generadores de vapor excepto calderas de agua caliente para calefacción
ae_sv_25200,25200,Fabricación de armas y municiones
ae_sv_25910,25910,Forja prensado estampado y laminado de metales; pulvimetalurgia
ae_sv_25920,25920,Tratamiento y revestimiento de metales; maquinado
ae_sv_25931,25931,Fabricación de artículos de cuchillería para uso doméstico
ae_sv_25932,25932,Fabricación de herramientas de mano y otros instrumentos
ae_sv_25933,25933,Fabricación de artículos de ferretería
ae_sv_25939,25939,Fabricación de artículos de cuchillería herramientas de mano y ferretería n.c.p.
ae_sv_25991,25991,Fabricación de envases y artículos conexos de metal
ae_sv_25992,25992,Fabricación de artículos de uso personal y/o doméstico y artículos sanitarios de metal
ae_sv_25999,25999,Fabricación de productos elaborados de metal n.c.p.
ae_sv_26101,26101,Fabricación de componentes y tableros electrónicos
ae_sv_26108,26108,Servicios de fabricación de componentes electrónicos a cambio de una retribución
ae_sv_26200,26200,Fabricación y ensamble de computadoras y equipo periférico
ae_sv_26300,26300,Fabricación de equipo de comunicaciones
ae_sv_26400,26400,Fabricación de aparatos electrónicos de consumo para audio video radio y televisión
ae_sv_26510,26510,Fabricación de equipos instrumentos y aparatos de medición prueba navegación y control
ae_sv_26520,26520,Fabricación de relojes otros mecanismos de medición del tiempo y sus piezas
ae_sv_26600,26600,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
ae_sv_26700,26700,Fabricación de instrumentos ópticos y equipo fotográfico
ae_sv_26800,26800,Fabricación de medios magnéticos y ópticos
ae_sv_27100,27100,Fabricación de motores generadores transformadores eléctricos
ae_sv_27200,27200,Fabricación de pilas baterías y acumuladores
ae_sv_27310,27310,Fabricación de cables de fibra óptica
ae_sv_27320,27320,Fabricación de otros hilos y cables eléctricos
ae_sv_27330,27330,Fabricación de dispositivos de cableado
ae_sv_27400,27400,Fabricación de equipo eléctrico de iluminación
ae_sv_27500,27500,Fabricación y ensamblado de aparatos de uso doméstico
ae_sv_27900,27900,Fabricación de otros tipos de equipo eléctrico
ae_sv_28110,28110,Fabricación de motores de combustión interna con pistones turbinas y piezas conexas
ae_sv_28120,28120,Fabricación de componentes hidráulicos y neumáticos y equipo de propulsión de fluidos
ae_sv_28131,28131,Fabricación de bombas de aire o de vacío bombas para líquidos compresores
ae_sv_28132,28132,Fabricación de grifos y válvulas industriales sanitarios y calefacción
ae_sv_28139,28139,Fabricación de otras bombas compresores grifos y válvulas n.c.p.
ae_sv_28140,28140,Fabricación de cojinetes equipo mecánico de transmisión engranajes embragues
ae_sv_28150,28150,Fabricación de hornos hogares quemadores y parrillas mecánicas
ae_sv_28161,28161,Fabricación de máquinas y equipo para manipular y levantar materiales
ae_sv_28162,28162,Fabricación de partes y piezas especiales para equipo de elevación y manipulación
ae_sv_28169,28169,Fabricación de equipo de elevación y manipulación n.c.p.
ae_sv_28171,28171,Fabricación de maquinaria de oficina electrónica o no electrónica
ae_sv_28172,28172,Fabricación de herramientas de oficina
ae_sv_28179,28179,Fabricación de maquinaria y equipo de oficina excepto computadoras n.c.p.
ae_sv_28180,28180,Fabricación de herramientas manuales con motor autónomo
ae_sv_28191,28191,Fabricación de maquinaria equipo y accesorios para todo tipo de envasado
ae_sv_28192,28192,Fabricación y ensamblaje de aparatos y equipo de aire acondicionado ventilación refrigeración
ae_sv_28199,28199,Fabricación de otros tipos de maquinaria de uso general n.c.p.
ae_sv_28211,28211,Fabricación de equipo de aspersión y fumigación para uso agropecuario
ae_sv_28219,28219,Fabricación de maquinaria agropecuaria y forestal n.c.p.
ae_sv_28221,28221,Fabricación de máquinas herramienta para trabajar metales piedras hueso plástico duro
ae_sv_28222,28222,Fabricación de máquinas herramienta y sus partes
ae_sv_28223,28223,Fabricación de piezas y accesorios para equipo industrial
ae_sv_28229,28229,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta n.c.p.
ae_sv_28230,28230,Fabricación de maquinaria y equipo para la industria metalúrgica
ae_sv_28240,28240,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
ae_sv_28251,28251,Fabricación y montaje de hornos para panadería cocinas para tortillerías pupuserías
ae_sv_28259,28259,Fabricación de maquinaria para la elaboración de alimentos bebidas y tabaco n.c.p.
ae_sv_28261,28261,Fabricación y ensamblaje de maquinaria para la elaboración de productos textiles y prendas de vestir
ae_sv_28262,28262,Fabricación de máquinas operadas manualmente para la elaboración de tejidos
ae_sv_28269,28269,Fabricación de maquinaria para la elaboración de productos textiles prendas y cueros n.c.p.
ae_sv_28291,28291,Fabricación de máquinas piezas y accesorios para imprenta
ae_sv_28299,28299,Fabricación de otros tipos de maquinaria de uso especial n.c.p.
ae_sv_29100,29100,Fabricación y ensamblaje de vehículos automotores
ae_sv_29200,29200,Fabricación de carrocerías para vehículos automotores; remolques y semirremolques
ae_sv_29301,29301,Fabricación de tubos de escape y silenciadores para automotores
ae_sv_29309,29309,Fabricación de partes piezas y accesorios para vehículos automotores n.c.p.
ae_sv_30110,30110,Fabricación de barcos lanchas botes canoas estructuras flotantes
ae_sv_30120,30120,Construcción de embarcaciones de recreo y deporte
ae_sv_30200,30200,Fabricación de locomotoras y material rodante
ae_sv_30300,30300,Fabricación ensamblaje y reconstrucción de aeronaves y maquinaria conexa
ae_sv_30400,30400,Fabricación de vehículos militares de combate
ae_sv_30910,30910,Fabricación y ensamblado de motocicletas y otros vehículos similares
ae_sv_30921,30921,Fabricación y ensamblaje de bicicletas y otros vehículos similares
ae_sv_30929,30929,Fabricación y ensamble de bicicletas silla de ruedas y otros vehículos similares n.c.p.
ae_sv_30990,30990,Fabricación de vehículos de propulsión manual y de tracción animal
ae_sv_31001,31001,Fabricación de colchones y bases de colchones
ae_sv_31002,31002,Fabricación de muebles de madera a medida (carpintería)
ae_sv_31003,31003,Fabricación de muebles de plástico y sus partes
ae_sv_31004,31004,Fabricación de muebles de madera y sus partes
ae_sv_31005,31005,Fabricación de muebles de metal y sus partes
ae_sv_31008,31008,Servicios de fabricación y acabado de muebles a cambio de una retribución
ae_sv_31009,31009,Fabricación de muebles n.c.p.
ae_sv_32111,32111,Fabricación de joyas de metales preciosos o comunes chapados
ae_sv_32118,32118,Servicios de fabricación y ensamble de joyas a cambio de una retribución
ae_sv_32119,32119,Fabricación de joyas y artículos conexos n.c.p.
ae_sv_32120,32120,Fabricación de joyas de fantasía bisutería y artículos conexos
ae_sv_32200,32200,Fabricación de instrumentos musicales (incluye piezas y accesorios)
ae_sv_32301,32301,Fabricación de artículos y equipo para la práctica de deportes
ae_sv_32308,32308,Servicio de fabricación de productos deportivos a cambio de una retribución
ae_sv_32401,32401,Fabricación de juegos de mesa y de salón
ae_sv_32403,32403,Fabricación de juguetes de toda clase
ae_sv_32408,32408,Servicio de fabricación de juguetes y juegos a cambio de una retribución
ae_sv_32409,32409,Fabricación de juegos y juguetes n.c.p.
ae_sv_32501,32501,Fabricación de instrumentos para uso médico quirúrgico odontológico y veterinario
ae_sv_32502,32502,Fabricación de materiales para uso médico quirúrgico odontológico y veterinario
ae_sv_32503,32503,Fabricación de aparatos y piezas protésicas y ortopédicas
ae_sv_32504,32504,Fabricación de prótesis dentales en laboratorios
ae_sv_32505,32505,Fabricación de muebles y accesorios de uso médico quirúrgico odontológico y veterinario
ae_sv_32506,32506,Fabricación de productos oftálmicos
ae_sv_32508,32508,Servicio de fabricación de aparatos y suministros médico quirúrgicos y odontológicos
ae_sv_32509,32509,Fabricación de instrumentos y materiales médicos y odontológicos n.c.p.
ae_sv_32901,32901,Fabricación de lápices bolígrafos sellos y artículos de librería
ae_sv_32902,32902,Fabricación de escobas cepillos pinceles y otros productos similares
ae_sv_32903,32903,Fabricación de artesanías de materiales diversos
ae_sv_32908,32908,Servicios de fabricación de artesanías y otros productos n.c.p. a cambio de una retribución
ae_sv_32909,32909,Fabricación de otros productos manufacturados n.c.p.
ae_sv_33111,33111,Reparación y mantenimiento de tuberías depósitos y tanques de metal
ae_sv_33119,33119,Reparación y mantenimiento de productos elaborados de metal n.c.p.
ae_sv_33121,33121,Reparación y mantenimiento de maquinaria equipo y piezas de máquinas agrícolas
ae_sv_33122,33122,Reparación y mantenimiento de maquinaria equipo y máquinas herramientas industriales
ae_sv_33123,33123,Reparación de aparatos y equipo de aire acondicionado ventilación refrigeración
ae_sv_33124,33124,Reparación de bombas compresores de aire y de gas
ae_sv_33129,33129,Reparación y mantenimiento de maquinaria n.c.p.
ae_sv_33131,33131,Reparación y mantenimiento de equipo de irradiación y equipo electrónico de uso médico
ae_sv_33132,33132,Reparación y mantenimiento de instrumentos y equipo óptico
ae_sv_33139,33139,Reparación y mantenimiento de equipo electrónico y óptico n.c.p.
ae_sv_33141,33141,Reparación de motores generadores y transformadores eléctricos
ae_sv_33142,33142,Reparación y mantenimiento de aparatos de control y distribución eléctrica
ae_sv_33149,33149,Reparación y mantenimiento de equipo eléctrico n.c.p.
ae_sv_33151,33151,Reparación y mantenimiento de aeronaves
ae_sv_33159,33159,Reparación y mantenimiento de equipo de transporte excepto vehículos automotores n.c.p.
ae_sv_33191,33191,Instalación reparación y mantenimiento de juegos mecánicos y de feria
ae_sv_33199,33199,Reparación de otros tipos de equipo n.c.p.
ae_sv_33200,33200,Instalación de maquinaria y equipo industriales
ae_sv_35101,35101,Generación de energía eléctrica (térmicas hidroeléctricas turbina de gas combustibles renovables)
ae_sv_35102,35102,Transmisión de energía eléctrica
ae_sv_35103,35103,Distribución de energía eléctrica
ae_sv_35109,35109,Generación transmisión y distribución de energía eléctrica n.c.p.
ae_sv_35201,35201,Fabricación de gas
ae_sv_35209,35209,Fabricación de gas; distribución de combustible gaseosos por tuberías n.c.p.
ae_sv_35301,35301,Suministro de vapor y agua caliente
ae_sv_35302,35302,Producción de hielo incluido hielo para la elaboración de productos alimenticios
ae_sv_35309,35309,Suministro de vapor y aire acondicionado n.c.p.
ae_sv_36000,36000,Captación tratamiento y distribución de agua
ae_sv_37001,37001,Gestión de sistemas de alcantarillado y de instalaciones de tratamiento de aguas residuales
ae_sv_37009,37009,Evacuación de aguas residuales n.c.p.
ae_sv_38111,38111,Recolección y transporte de desechos sólidos no peligrosos de hogares y empresas urbanas
